"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","W4Efsd 6","e4rVHe"
"https://www.google.com/maps/place/Anchor+Ansh/data=!4m7!3m6!1s0x390d030fe7a1f625:0x5fedf799b7910071!8m2!3d28.6958139!4d77.1333585!16s%2Fg%2F11ry7xvqxt!19sChIJJfah5w8DDTkRcQCRt5n37V8?authuser=0&hl=en&rclk=1","Anchor Ansh","5.0","(41)","Event planner","·","Ru-65","Open 24 hours","·","088601 41187","http://anchoransh.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Would recommend and hire him for all kinds of events in the future.""","",""
"https://www.google.com/maps/place/Celebrity+Female+Anchor+in+Delhi+NCR+-+ZOAFSHEN+QURESHI/data=!4m7!3m6!1s0x390ce32b293c560b:0xa1570754a15120fb!8m2!3d28.5478897!4d77.2031247!16s%2Fg%2F11t47wdk6j!19sChIJC1Y8KSvjDDkR-yBRoVQHV6E?authuser=0&hl=en&rclk=1","Celebrity Female Anchor in Delhi NCR - ZOAFSHEN QURESHI","4.9","(42)","Event management company","","·","Open 24 hours","","088006 27575","https://www.instagram.com/ms.thankyu/","","Website","","Directions","","On-site services","",""
"https://www.google.com/maps/place/Anchor+Rj+Anand/data=!4m7!3m6!1s0x390d03e77eb424a7:0x38444b178da33d75!8m2!3d28.6249006!4d77.11088!16s%2Fg%2F11z4b2klwc!19sChIJpyS0fucDDTkRdT2jjRdLRDg?authuser=0&hl=en&rclk=1","Anchor Rj Anand","4.9","(27)","Entertainer","Open 24 hours","·","","","099101 87173","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best anchor in delhi""","",""
"https://www.google.com/maps/place/Anchor+Sagar+Duggal/data=!4m7!3m6!1s0x390d1be8e25c4ed9:0xa47ef45a4eb4f997!8m2!3d28.560589!4d77.0676293!16s%2Fg%2F11hzm3h08x!19sChIJ2U5c4ugbDTkRl_m0Tlr0fqQ?authuser=0&hl=en&rclk=1","Anchor Sagar Duggal","4.8","(103)","Entertainer","Closed","·","· Opens 6 am","","080100 03299","","","Directions","","","","On-site services","",""
"https://www.google.com/maps/place/Anchor+%2F+RJ+Tushar+Bansal+-+The+Best+Sangeet+%26+Haldi+Anchor+In+Delhi/data=!4m7!3m6!1s0x2a17197663d4c805:0xf7839153b3ea37fe!8m2!3d28.6794558!4d77.3003011!16s%2Fg%2F11w9k0lk0b!19sChIJBcjUY3YZFyoR_jfqs1ORg_c?authuser=0&hl=en&rclk=1","Anchor / RJ Tushar Bansal - The Best Sangeet & Haldi Anchor In Delhi","4.9","(104)","Artist","·","A 16","Closed","·","099113 27761","http://www.anchortusharbansal.com/","","Website","","Directions","","On-site services","· Opens 9 am",""
"https://www.google.com/maps/place/Anchor+Sandhya+Bhandari/data=!4m7!3m6!1s0x390d23544f80cda5:0x99ed7219996a5ddf!8m2!3d28.5864577!4d77.0706139!16s%2Fg%2F11fhyncm07!19sChIJpc2AT1QjDTkR311qmRly7Zk?authuser=0&hl=en&rclk=1","Anchor Sandhya Bhandari","4.8","(50)","Entertainer","Closed","B-292, Second Floor Ramphal Chowk Sector-7","· Opens 9 am","·","095995 39864","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""She can be defined as Charm and Grace personified.""","·",""
"https://www.google.com/maps/place/Anchor+Nitish+Sharma/data=!4m7!3m6!1s0x390cfd76aa3364ab:0xac0871f2cb17c5de!8m2!3d28.6642318!4d77.2121072!16s%2Fg%2F11dzzd4nqb!19sChIJq2Qzqnb9DDkR3sUXy_JxCKw?authuser=0&hl=en&rclk=1","Anchor Nitish Sharma","4.9","(39)","Event planner","·","House no. 9540 Azad Market Library Road","Open 24 hours","·","098106 26926","http://www.anchornitish.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7491018521560196510","","Website","","Directions","","On-site services","",""
"https://www.google.com/maps/place/Anchor+Aalok/data=!4m7!3m6!1s0x244ed9b3bd1d4ce7:0x6e7ab7f8167e49e6!8m2!3d33.5473818!4d5.8257267!16s%2Fg%2F11nc1_zrm7!19sChIJ50wdvbPZTiQR5kl-Fvi3em4?authuser=0&hl=en&rclk=1","Anchor Aalok","4.9","(19)","Wedding service","","·","Open 24 hours","","088511 03578","https://www.instagram.com/anchor.aalok?igsh=MW9oN2x4czBlc3h2aw==&utm_source=qr","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very good anchor.""","",""
"https://www.google.com/maps/place/Anchor+Shivangi+Khandelwal/data=!4m7!3m6!1s0x390d03f547e31d8f:0x5b7e90aafb399a03!8m2!3d28.6629138!4d77.1079801!16s%2Fg%2F11xlfp_czn!19sChIJjx3jR_UDDTkRA5o5-6qQfls?authuser=0&hl=en&rclk=1","Anchor Shivangi Khandelwal","5.0","(73)","Entertainer","·","BG-6, F No. 341-B, near LPG Gas Godown","Open 24 hours","·","097118 75241","https://www.instagram.com/shivangi_khandelwal22/","","Website","","Directions","","On-site services","",""
"https://www.google.com/maps/place/Anchor+Dhruv+Chauhan+-+Emcee+%26+Public+Speaker/data=!4m7!3m6!1s0x390d03ad513f8f5f:0xb0df4b4b2e0d37fd!8m2!3d28.7007423!4d77.1030093!16s%2Fg%2F11x6l6jf13!19sChIJX48_Ua0DDTkR_TcNLktL37A?authuser=0&hl=en&rclk=1","Anchor Dhruv Chauhan - Emcee & Public Speaker","5.0","(24)","Event planner","·","268 E-21","Open 24 hours","·","095825 85258","https://anchordhruv.com/","","Website","","Directions","","On-site services","",""
"https://www.google.com/maps/place/Anchor+Aman+Shinde/data=!4m7!3m6!1s0x390ce5135244a953:0x16280b38e7647bd8!8m2!3d28.5957101!4d77.2992034!16s%2Fg%2F11y1s98lsl!19sChIJU6lEUhPlDDkR2Htk5zgLKBY?authuser=0&hl=en&rclk=1","Anchor Aman Shinde","4.9","(65)","Event management company","·","·","Open 24 hours","Sadbhawana Marg, opposite Upkar Apartments","088718 71143","https://anchor-aman-shinde.shaadisamadhan.com/","","Website","","Directions","","On-site services","·",""
"https://www.google.com/maps/place/Best+Anchor+in+Delhi/data=!4m7!3m6!1s0x390ce34bc7d0f17d:0x50a01e2f5bb7ee7d!8m2!3d28.5509325!4d77.235832!16s%2Fg%2F11pzk0kvd5!19sChIJffHQx0vjDDkRfe63Wy8eoFA?authuser=0&hl=en&rclk=1","Best Anchor in Delhi","5.0","(10)","Artist","","","","","097164 72237","https://www.facebook.com/shiven.rana.5?mibextid=ZbWKwL","","Website","","Directions","","On-site services not available","",""
"https://www.google.com/maps/place/Best+Male+Anchor+in+Delhi/data=!4m7!3m6!1s0x390ce3f66ae0e4b9:0xf03b3c3e7b299fb9!8m2!3d28.539593!4d77.261228!16s%2Fg%2F11gxwnr_j1!19sChIJueTgavbjDDkRuZ8pez48O_A?authuser=0&hl=en&rclk=1","Best Male Anchor in Delhi","5.0","(44)","Entertainer","·","01","Open 24 hours","·","085869 20934","https://sites.google.com/view/bestanchorindelhi/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Without a doubt, Vihaan stands as the best anchor in Delhi NCR.""","",""
"https://www.google.com/maps/place/Best+Female+Anchor,+Host,+Emcee/data=!4m7!3m6!1s0x390d03fc5495488d:0xb11519e4a5348587!8m2!3d28.7011733!4d77.1237715!16s%2Fg%2F11n6h5xjx4!19sChIJjUiVVPwDDTkRh4U0peQZFbE?authuser=0&hl=en&rclk=1","Best Female Anchor, Host, Emcee","4.9","(13)","Event management company","Closed","01, Halar Rd","· Opens 8 am","·","088609 11710","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Amazing and accommodating.""","·",""
"https://www.google.com/maps/place/Best+Wedding+Anchor+%7C+Best+Wedding+anchor+in+Delhi/data=!4m7!3m6!1s0x390ce30657c6167b:0x82f926b922ac4441!8m2!3d28.5369164!4d77.2641143!16s%2Fg%2F11pysffcvf!19sChIJexbGVwbjDDkRQUSsIrkm-YI?authuser=0&hl=en&rclk=1","Best Wedding Anchor | Best Wedding anchor in Delhi","4.8","(6)","Wedding planner","Open 24 hours","431/5, Gali Number 5","","·","099587 17011","","","Directions","","","","Online appointments","·",""
"https://www.google.com/maps/place/Anchor+Ria+Mittal/data=!4m7!3m6!1s0x693200514c5890b5:0xfb15d9acf1879a1a!8m2!3d28.588765!4d77.1670746!16s%2Fg%2F11x1vsgb1l!19sChIJtZBYTFEAMmkRGpqH8azZFfs?authuser=0&hl=en&rclk=1","Anchor Ria Mittal","5.0","(12)","Event management company","·","Ground Floor, Satya Niketan, 124","Closed","·","078387 63366","https://www.riamittal.com/","","Website","","Directions","","Online appointments","· Opens 11 am",""
"https://www.google.com/maps/place/Anchor+Prashant/data=!4m7!3m6!1s0x8f385914c9048fdd:0x77e255aeeba0692b!8m2!3d28.6899603!4d77.2872901!16s%2Fg%2F11yt2kbg9v!19sChIJ3Y8EyRRZOI8RK2mg665V4nc?authuser=0&hl=en&rclk=1","Anchor Prashant","5.0","(3)","Event management company","·","Prashant Mishra C, 303 East","Open 24 hours","·","098704 99564","https://www.instagram.com/theanchorprashant?igsh=OXlsMWt5ODVtY3gx","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He is the best anchor I have ever seen in my life.""","",""
"https://www.google.com/maps/place/Akansha+Gupta/data=!4m7!3m6!1s0x390d03466b04b961:0x3d4f068f8786a952!8m2!3d28.5560586!4d77.1743738!16s%2Fg%2F11gx_n90qf!19sChIJYbkEa0YDDTkRUqmGh48GTz0?authuser=0&hl=en&rclk=1","Akansha Gupta","5.0","(16)","Entertainer","Open 24 hours","Block 45, Market, S-217, Bank St","","·","095820 22489","","","Directions","","","","On-site services","·",""
"https://www.google.com/maps/place/Anchor+Ayesha/data=!4m7!3m6!1s0x390d050df5e42a01:0xccccd0b0764fbab5!8m2!3d28.7020206!4d77.0994336!16s%2Fg%2F11ysg61823!19sChIJASrk9Q0FDTkRtbpPdrDQzMw?authuser=0&hl=en&rclk=1","Anchor Ayesha","4.8","(5)","Party planner","Open 24 hours","","","·","","","","Directions","","","","On-site services","",""
"https://www.google.com/maps/place/Anchor+nikhil+katariya/data=!4m7!3m6!1s0x390d034bfe56ea1d:0x3611ba9225c7307e!8m2!3d28.6615719!4d77.1505643!16s%2Fg%2F11w__6vvg9!19sChIJHepW_ksDDTkRfjDHJZK6ETY?authuser=0&hl=en&rclk=1","Anchor nikhil katariya","4.9","(31)","Entertainment agency","Open 24 hours","C147","","·","098264 78375","","","Directions","","","","Online appointments","·",""
"https://www.google.com/maps/place/Sparkling+Event+WEDDING+ANCHOR+%7C+HOST+%7C+CORPORATE+ANCHOR+%7C+FEMALE+ANCHOR+%7C+EMCEE+%7C+CORPORATE+ANCHOR+IN+DELHI+NCR/data=!4m7!3m6!1s0x390d050119cb51f5:0x368fe5881e706c44!8m2!3d28.6274518!4d77.0413343!16s%2Fg%2F11tsfdd7qr!19sChIJ9VHLGQEFDTkRRGxwHojljzY?authuser=0&hl=en&rclk=1","Sparkling Event WEDDING ANCHOR | HOST | CORPORATE ANCHOR | FEMALE ANCHOR | EMCEE | CORPORATE ANCHOR IN DELHI NCR","5.0","(25)","Entertainment agency","Closed","·","· Opens 10 am","·","099116 32309","","","Directions","","","","On-site services not available","Office no 6, Gurudwara Market, Arya Samaj Rd",""
"https://www.google.com/maps/place/Anchor+Sahil+Bajaj/data=!4m7!3m6!1s0x390d078fac226beb:0xa0f9cbf07fc6e7d2!8m2!3d28.7197127!4d77.0622607!16s%2Fg%2F11x600yt7j!19sChIJ62sirI8HDTkR0ufGf_DL-aA?authuser=0&hl=en&rclk=1","Anchor Sahil Bajaj","5.0","(18)","Entertainer","Open 24 hours","","","","","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""One of the Best Anchors in Delhi – Sahil Bajaj!""","",""
"https://www.google.com/maps/place/Anchor+nimisha/data=!4m7!3m6!1s0x396db5ad98aa8e9d:0xcabdf20c86a061f!8m2!3d26.9017535!4d75.737647!16s%2Fg%2F11mstr6xf7!19sChIJnY6qmK21bTkRHwZqyCDfqww?authuser=0&hl=en&rclk=1","Anchor nimisha","5.0","(34)","Event management company","Open 24 hours","D5/15","","·","","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Highly recommended for any corporate gathering""","",""
"https://www.google.com/maps/place/Anchor+Aiman+:+Corporate+emcee+,+Team+building+expert,+Wedding+Anchor,+social+gig+Anchor/data=!4m7!3m6!1s0x6a2328ad55c000ad:0x977555acf02c2b74!8m2!3d28.1575438!4d77.0595484!16s%2Fg%2F11v9z8t_1t!19sChIJrQDAVa0oI2oRdCss8KxVdZc?authuser=0&hl=en&rclk=1","Anchor Aiman : Corporate emcee , Team building expert, Wedding Anchor, social gig Anchor","5.0","(113)","Entertainer","","·","Closed","","078885 43694","http://anchoraiman.com/","","Website","","Directions","","Online appointments","· Opens 8 am",""
"https://www.google.com/maps/place/ADK+-+Anchor+Deepak+Kumar/data=!4m7!3m6!1s0xab3ec619850b104d:0xc56be31dfe5cbd0a!8m2!3d26.0749157!4d78.705118!16s%2Fg%2F11l1n8tyqx!19sChIJTRALhRnGPqsRCr1c_h3ja8U?authuser=0&hl=en&rclk=1","ADK - Anchor Deepak Kumar","4.9","(28)","Entertainer","","·","Open 24 hours","","099109 82865","https://anchordeepak.com/?utm_source=gmb-button&utm_medium=gbl&utm_id=gmb","","Website","","Directions","","Online appointments","",""
