"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","ah5Ghc 2","W4Efsd 5","UsdlK","Jn12ke src","W4Efsd 6"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Anchor+%2F+Emcee+%2F+Host+Vijay+Mane/data=!4m7!3m6!1s0x3be7c997f61733cd:0x561815f1de7281fe!8m2!3d19.1110791!4d72.8961014!16s%2Fg%2F11yzc474b3!19sChIJzTMX9pfJ5zsR_oFy3vEVGFY?authuser=0&hl=en&rclk=1","Anchor / Emcee / Host Vijay Mane","5.0","(30)","Entertainer","·","Flat no 204, Building No 32, B wing Chandivali","Open 24 hours","http://www.instagram.com/vijayverse404","","Website","","Directions","On-site services","Online appointments","","","",""
"https://www.google.com/maps/place/Anchor+Aman+Malhotra+-+Best+Anchor+in+Mumbai+%7C+Top+Anchor+for+Wedding+%7C+Best+Anchor+for+Corporate+Events+%7C+Emcees+in+Mumbai/data=!4m7!3m6!1s0x3be7cf20c8ebffff:0xc9733f4bc886028e!8m2!3d19.0189332!4d72.8532788!16s%2Fg%2F11gbx9rn7d!19sChIJ___ryCDP5zsRjgKGyEs_c8k?authuser=0&hl=en&rclk=1","Anchor Aman Malhotra - Best Anchor in Mumbai | Top Anchor for Wedding | Best Anchor for Corporate Events | Emcees in Mumbai","5.0","(11)","Entertainer","·","643,Gulshan Terrace,Parsi Colony,Road no. 10,Dadar,Mumbai","Open 24 hours","https://www.instagram.com/anchor.amanmalhotra","","Website","","Directions","On-site services","Online appointments","·","099207 69891","",""
"https://www.google.com/maps/place/Anchor+%2F+Host%2F+Emcee+Hitesh+Nemade/data=!4m7!3m6!1s0x3be7c7b8aebdf017:0x40f31a62591c2ea3!8m2!3d19.1041151!4d72.9269382!16s%2Fg%2F11x03vd_bh!19sChIJF_C9rrjH5zsRoy4cWWIa80A?authuser=0&hl=en&rclk=1","Anchor / Host/ Emcee Hitesh Nemade","4.8","(44)","Artist","·","Flat no-54, Tower A-3","Open 24 hours","","","Directions","","","On-site services","","·","099699 87095","",""
"https://www.google.com/maps/place/Anchor+Amitesh+sharma/data=!4m7!3m6!1s0x3be7b7d7d7c3f359:0x29cd45a9f8300793!8m2!3d19.0219522!4d72.8425175!16s%2Fg%2F11t2s8mrsc!19sChIJWfPD19e35zsRkwcw-KlFzSk?authuser=0&hl=en&rclk=1","Anchor Amitesh sharma","5.0","(178)","Artist","","·","Open 24 hours","","","Directions","","","""Wonderful anchor , it's always a pleasure to hear your anchoring.👌""","","","093243 97300","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Anchor+Satish+Talekar/data=!4m7!3m6!1s0x3be7c7d3670f2b09:0x1b78fb2d25520b58!8m2!3d19.105284!4d72.933391!16s%2Fg%2F11qmr09g21!19sChIJCSsPZ9PH5zsRWAtSJS37eBs?authuser=0&hl=en&rclk=1","Anchor Satish Talekar","5.0","(183)","Event planner","·","X-17","Closed","http://www.anchorsatishtalekar.com/","","Website","","Directions","On-site services","Online appointments","·","099202 43248","","· Opens 9 am"
"https://www.google.com/maps/place/Anchor+Riddhi+Variya/data=!4m7!3m6!1s0x3be7b7f10190854f:0x30690254103a5bab!8m2!3d19.1650676!4d72.8399875!16s%2Fg%2F11jsltbly6!19sChIJT4WQAfG35zsRq1s6EFQCaTA?authuser=0&hl=en&rclk=1","Anchor Riddhi Variya","5.0","(37)","Entertainer","·","Mahatma Gandhi Rd, near Azad Maidan","Open 24 hours","https://www.instagram.com/anchor_riddhi/","","Website","","Directions","On-site services","Online appointments","·","098335 11649","",""
"https://www.google.com/maps/place/Anchor+DRASHTI+VAJAR/data=!4m7!3m6!1s0x3be7b77b27d46105:0xec4a54a11bfc50d4!8m2!3d19.1571035!4d72.8463758!16s%2Fg%2F11fpgsk6m4!19sChIJBWHUJ3u35zsR1FD8G6FUSuw?authuser=0&hl=en&rclk=1","Anchor DRASHTI VAJAR","4.9","(125)","Event planner","","","Closed","http://www.instagram.com/drashti_vajar","","Website","","Directions","Online appointments","","","","","· Opens 10 am"
"https://www.google.com/maps/place/Anchor+Neel+Shah+%28Shah+Events%29/data=!4m7!3m6!1s0x3be7b16f1f26694d:0x3084f772e6319c7e!8m2!3d19.290092!4d72.8503151!16s%2Fg%2F11mzhk59w9!19sChIJTWkmH2-x5zsRfpwx5nL3hDA?authuser=0&hl=en&rclk=1","Anchor Neel Shah (Shah Events)","5.0","(27)","Entertainer","·","Pooja Residency, PLANETARIA COMPLEX, F-103","Open 24 hours","","","Directions","","","""Fully energetic and entertaining anchor""","","·","072088 31270","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
