"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","W4Efsd 5","W4Efsd 6","W4Efsd 7","Jn12ke src","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Dr+Varun+Mathur+Clinic/data=!4m7!3m6!1s0x396db61661750a5b:0x3537ec10cb1ff678!8m2!3d26.8434252!4d75.8196779!16s%2Fg%2F11bt_hk1t3!19sChIJWwp1YRa2bTkRePYfyxDsNzU?authuser=0&hl=en&rclk=1","Dr Varun Mathur Clinic","4.8","(493)","Emergency care physician","·","","·","Indraprasth-D, Plot No.4, Pradhan Path, Behind GSI Flats","095493 22220","https://drvarunmathur.vercel.app/","","Website","","Directions","On-site services","","","","","",""
"https://www.google.com/maps/place/Agarwal%27s+Clinic/data=!4m7!3m6!1s0x396dc9475b0612a9:0x6e29e5807da1734b!8m2!3d26.8224889!4d75.8644856!16s%2Fg%2F11tf56lyg2!19sChIJqRIGW0fJbTkRS3OhfYDlKW4?authuser=0&hl=en&rclk=1","Agarwal's Clinic","4.9","(61)","Family practice physician","·","","·","A 152, Ram Nagariya Rd","080034 21899","https://agarwalclinic.com/","","Website","","Directions","""Dr. Pradeep Agarwal is highly knowledgeable, patient, and compassionate.""","Closed","· Opens 7:30 am","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Danish+Qureshi+%28General+Physician+in+jagatpura+Jaipur%29/data=!4m7!3m6!1s0x396dc9f3e5a1f44f:0xf69a81069db5dbb6!8m2!3d26.7997088!4d75.8695974!16s%2Fg%2F11ngj6_k4l!19sChIJT_Sh5fPJbTkRttu1nQaBmvY?authuser=0&hl=en&rclk=1","Dr. Danish Qureshi (General Physician in jagatpura Jaipur)","4.9","(460)","General practitioner","·","","·","Medtalk Clinic, near Somya sky legend Apartment","080058 39331","https://generalphysicianjaipur.com/","","Website","","Directions","On-site services","Closed","· Opens 9 am","·","","",""
"https://www.google.com/maps/place/Prathistha+Medical+%26+clinic/data=!4m7!3m6!1s0x396dc98133bf9a5b:0xa91f47e0874f65e5!8m2!3d26.8133645!4d75.8919827!16s%2Fg%2F11wpsbsn8t!19sChIJW5q_M4HJbTkR5WVPh-BHH6k?authuser=0&hl=en&rclk=1","Prathistha Medical & clinic","4.9","(59)","Medical clinic","·","","opposite VGU Campus","Open 24 hours","079768 93988","","","Directions","","","""Dr. Ram’s diagnosis was correct and his medicines worked effectively.""","·","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Anurag+Srivastava+%28Mediclinix+Physician+Jagatpura%29/data=!4m7!3m6!1s0x396dc84742487959:0xe66e34f8437a2462!8m2!3d26.807581!4d75.8706582!16s%2Fg%2F11c75l9ll9!19sChIJWXlIQkfIbTkRYiR6Q_g0buY?authuser=0&hl=en&rclk=1","Dr. Anurag Srivastava (Mediclinix Physician Jagatpura)","5.0","(446)","General practitioner","·","","·","Shop 17, Second Floor, Green Park Colony, Rainbow Heights Rd, near Ramnagariya","098821 21223","https://www.mediclinix.in/","","Website","","Directions","On-site services","Closed","· Opens 8 am","·","","",""
"https://www.google.com/maps/place/Dr.+Rakesh+Thakuriya/data=!4m7!3m6!1s0x396db5c5b35f8d2b:0x42b125e77fae8b5c!8m2!3d26.8184946!4d75.8325125!16s%2Fg%2F11t3z5r29y!19sChIJK41fs8W1bTkRXIuuf-clsUI?authuser=0&hl=en&rclk=1","Dr. Rakesh Thakuriya","4.9","(78)","Doctor","·","","·","Open","093140 65365","","","Directions","","","""Very knowledgeable, experienced and empathetic towards patient.""","7 no, 71, Airport Rd, opp. Mahima Pansh","· Closes 4 pm · Reopens 5 pm","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr+Balram%E2%80%99s+clinic+and+Day+care+centre/data=!4m7!3m6!1s0x396dc9c0e6a0a087:0x754b4264470a9607!8m2!3d26.8186393!4d75.8559473!16s%2Fg%2F11xgszy7pt!19sChIJh6Cg5sDJbTkRB5YKR2RCS3U?authuser=0&hl=en&rclk=1","Dr Balram’s clinic and Day care centre","5.0","(14)","Medical clinic","·","","80ft road, near Laxmi sweets, swapoor Vihar, VIT Rd","Open 24 hours","095097 63628","","","Directions","","","""Nice dr
nice staff""","·","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Shree+Ji+Clinic/data=!4m7!3m6!1s0x396dc91225901af9:0x3ecd4b61c6fd57bf!8m2!3d26.8183738!4d75.8558747!16s%2Fg%2F11tdm4p6j5!19sChIJ-RqQJRLJbTkRv1f9xmFLzT4?authuser=0&hl=en&rclk=1","Shree Ji Clinic","5.0","(19)","Medical clinic","·","","98-A, Santosh Vihar, Swaroop Vihar Choraha, VIT Rd","","","https://aayu.app/store/shreemedical/183077","","Website","","Directions","On-site services","Closed","· Opens 9 am","","","",""
