"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","doJOZc","lcr4fd href","Cw1rxd 2","R8c4Qb 2","W4Efsd 7"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Dr+Richa+Vaishnav+Gynecologist+Sanganer+%7C+Infertility+%7C+PCOD+%7C+Normal+Delivery+Expert+%7C+Gynecologist+in+jaipur/data=!4m7!3m6!1s0x396dcbf838e8c5cd:0x4ac6966ebac6f3d1!8m2!3d26.8146878!4d75.7631923!16s%2Fg%2F11fsb5dcbz!19sChIJzcXoOPjLbTkR0fPGum6Wxko?authuser=0&hl=en&rclk=1","Dr Richa Vaishnav Gynecologist Sanganer | Infertility | PCOD | Normal Delivery Expert | Gynecologist in jaipur","4.9","(142)","Gynecologist","·","12A - First Floor, Aananda Plaza, Railway Station, near Sanganer","Closed","· Opens 5 pm","·","097848 37616","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""She has solved my million queries i had at the time of my pregnancy.""","","","","",""
"https://www.google.com/maps/place/Dr.+Shikha+Sharma+%7C+Best+Obstetrician+and+Gynaecologist+%7C/data=!4m7!3m6!1s0x396dcb79adb9d0c5:0xd7295b286ef7c65b!8m2!3d26.8069995!4d75.8062335!16s%2Fg%2F11yrxk3llf!19sChIJxdC5rXnLbTkRW8b3bihbKdc?authuser=0&hl=en&rclk=1","Dr. Shikha Sharma | Best Obstetrician and Gynaecologist |","5.0","(33)","Obstetrician-gynecologist","·","Rama speciality Clinics, Tonk Rd, opp. Tejaji Mandir","Closed","· Opens 5 pm","","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Authentic care and respectful behaviour of staff n doctor.""","","","","",""
"https://www.google.com/maps/place/DIVA+Hospital+%26+IVF+Centre/data=!4m7!3m6!1s0x396dca81881b7b4b:0x6aaf3f2745b54321!8m2!3d26.833271!4d75.7524497!16s%2Fg%2F11f3n1rv22!19sChIJS3sbiIHKbTkRIUO1RSc_r2o?authuser=0&hl=en&rclk=1","DIVA Hospital & IVF Centre","4.7","(742)","Obstetrician-gynecologist","·","·","07, Radha Nikunj B, Gram Balrampura, Muhana Mandi Rd, near Iskon Temple","Open 24 hours","·","074148 59859","","Website","","On-site services","","https://divahospitals.com/","","Directions",""
"https://www.google.com/maps/place/Dr.+Shikha+Gupta+-+Gynecologist+%26+Infertility+Specialist,+Mansarovar,+Jaipur/data=!4m7!3m6!1s0x396dcb2d7d67182b:0xbea4eb8cbcf6a082!8m2!3d26.8333728!4d75.7523964!16s%2Fg%2F11h8rcb3y8!19sChIJKxhnfS3LbTkRgqD2vIzrpL4?authuser=0&hl=en&rclk=1","Dr. Shikha Gupta - Gynecologist & Infertility Specialist, Mansarovar, Jaipur","4.8","(765)","Gynecologist","·","·","B, Plot no- 7, Vande Mataram Marg, near Hotel Hyatt","Closed","·","074148 59859","","Website","","On-site services","","http://divahospitals.com/","","Directions","· Opens 9 am"
"https://www.google.com/maps/place/Dr.Satyamvada+Pandey/data=!4m7!3m6!1s0x396dcbfaeb6cb545:0x42c5035b18472e2d!8m2!3d26.8186112!4d75.794895!16s%2Fg%2F11v66lr89k!19sChIJRbVs6_rLbTkRLS5HGFsDxUI?authuser=0&hl=en&rclk=1","Dr.Satyamvada Pandey","4.5","(46)","Obstetrician-gynecologist","·","·","Room No.4, Eternal Hospital, near Airport Circle","Closed","·","072310 44444","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Such a experienced Dr. Treats very passionately""","","https://www.eternalhospital.com/sanganer/doctor/satyamvada-pandey","","Directions","· Opens 9 am"
"https://www.google.com/maps/place/Dr+Ankita+Choudhary/data=!4m7!3m6!1s0x396dc963ceae4bb1:0x4b2eaa442d3dfe3!8m2!3d26.8026469!4d75.8088934!16s%2Fg%2F11yxhktd5h!19sChIJsUuuzmPJbTkR49_TQqTqsgQ?authuser=0&hl=en&rclk=1","Dr Ankita Choudhary","5.0","(92)","Gynecologist","·","Star Hospital, opposite D-mart","Open 24 hours","","·","082094 71597","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr. Ankita is an exceptionally skilled and compassionate specialist.""","","","","",""
"https://www.google.com/maps/place/Upadhyaya+Clinic/data=!4m7!3m6!1s0x396db5824f7b5f4d:0x8b95cde88e42dda5!8m2!3d26.8069806!4d75.7575957!16s%2Fg%2F11clsh5fyw!19sChIJTV97T4K1bTkRpd1CjujNlYs?authuser=0&hl=en&rclk=1","Upadhyaya Clinic","4.4","(279)","Women's health clinic","·","swarn vihar, C - 21, near Muhana Mandi Road","·","Closed","","083029 63797","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best","","http://drpoonamupadhyaya.com/","","Directions","· Opens 6 pm"
"https://www.google.com/maps/place/DR+NIDHI+GUPTA/data=!4m7!3m6!1s0x396db5a5052549af:0x376ccb1cc4238acf!8m2!3d26.8415465!4d75.7444844!16s%2Fg%2F11k9rz8htv!19sChIJr0klBaW1bTkRz4ojxBzLbDc?authuser=0&hl=en&rclk=1","DR NIDHI GUPTA","5.0","(843)","Obstetrician-gynecologist","·","·","Open 24 hours","","577","085050 80157","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr nidhi Gupta  best gynecologist  doctor  good service   best treatment""","","","","","·"
