"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","doJOZc","W4Efsd 7"
"https://www.google.com/maps/place/Dr.+Alka+Ratnawat+-+Best+IVF+Doctor+in+Jaipur+%7C+Infertility+Specialist+%26+Gynecologist+in+chandpole,+Jaipur/data=!4m7!3m6!1s0x396db39820853b41:0x4dba1f884e3430ce!8m2!3d26.9286416!4d75.804273!16s%2Fg%2F11y0p4qfpv!19sChIJQTuFIJizbTkRzjA0Togfuk0?authuser=0&hl=en&rclk=1","Dr. Alka Ratnawat - Best IVF Doctor in Jaipur | Infertility Specialist & Gynecologist in chandpole, Jaipur","5.0","(17)","Obstetrician-gynecologist","·","Asian Superspeciality Hospital & Trauma Centre, near ZANANA HOSPITAL, near Pareek College Road","Closed","· Opens 10 am","·","072300 77758","https://sites.google.com/view/asianivfcentrejaipur/home?pli=1","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Her expertise in infertility treatment is unmatched.""","",""
"https://www.google.com/maps/place/Dr+Kalyan+Sahay/data=!4m7!3m6!1s0x396db6adbe0a7c29:0xc39f9d612844e64b!8m2!3d26.9253656!4d75.8038383!16s%2Fg%2F1v44ccgc!19sChIJKXwKvq22bTkRS-ZEKGGdn8M?authuser=0&hl=en&rclk=1","Dr Kalyan Sahay","4.1","(232)","Doctor","·","·","A-42, Jobner Bagh, behind Zanana Hospital Reserve Police Line","Closed","· Opens 2 pm","093529 77917","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""I went for my sister's treatment and after 6 months result came positive.""","","·"
"https://www.google.com/maps/place/Dr.+S.+R.+Saini+Clinic+mojika+complex/data=!4m7!3m6!1s0x396db31d4f99e563:0x1658489c57f456b8!8m2!3d26.9283363!4d75.8046974!16s%2Fg%2F11ppwzbhsn!19sChIJY-WZTx2zbTkRuFb0V5xIWBY?authuser=0&hl=en&rclk=1","Dr. S. R. Saini Clinic mojika complex","4.7","(92)","Gynecologist","·","·","Flate no 102, Mojika complex, Jhotwara Rd, nr. asian hospital, opp. janana dr quarter","Closed","· Opens 8 am","095718 18796","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""excellent doctor and good communication and ''very nice teamwork""""","","·"
"https://www.google.com/maps/place/Dr.+Pragya+Sharma/data=!4m7!3m6!1s0x396db1cbf83910e7:0x44664e028db6d214!8m2!3d26.9332203!4d75.8205525!16s%2Fg%2F11lclc5d72!19sChIJ5xA5-MuxbTkRFNK2jQJOZkQ?authuser=0&hl=en&rclk=1","Dr. Pragya Sharma","4.7","(28)","Obstetrician-gynecologist","·","Radha Govind Doctor's Chamber, Shivaji chowk","·","Closed","· Opens 9 am","094686 30590","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very experienced and good doctor, counseling  is very effective and""","",""
"https://www.google.com/maps/place/Dr.+Vibha+Chaturvedi+Sharma/data=!4m7!3m6!1s0x396db5e173610455:0xb0731758b2f9d554!8m2!3d26.9047009!4d75.8142123!16s%2Fg%2F1hm4l1j5c!19sChIJVQRhc-G1bTkRVNX5slgXc7A?authuser=0&hl=en&rclk=1","Dr. Vibha Chaturvedi Sharma","4.8","(1,383)","Obstetrician-gynecologist","·","·","Closed","· Opens 10 am","NO 1, SURYA HOSPITALS C -8 SURYA HOSPITALS B-7, Sawai Ram Singh Rd, opposite SMS HOSPITAL GATE","078499 09109","https://drvibhasharma.com/","","Website","","Directions","","On-site services","","·"
"https://www.google.com/maps/place/Dr.Manvika+Chandel-+Gynaecologist+and+Laparoscopy+Specialist+in+Jaipur/data=!4m7!3m6!1s0x396db58eb5825419:0x2ac6856c831c5c74!8m2!3d26.9028509!4d75.7858792!16s%2Fg%2F11nc28wcws!19sChIJGVSCtY61bTkRdFwcg2yFxio?authuser=0&hl=en&rclk=1","Dr.Manvika Chandel- Gynaecologist and Laparoscopy Specialist in Jaipur","5.0","(27)","Gynecologist","·","·","Closed","· Opens 6 am","Jagdish Enclave, opposite Shri Ram Mandir","093521 74893","https://www.instagram.com/dr_manvika_her_health_mentor?igsh=MW9wMDdrb3A2eXRyaw==&utm_source=qr","","Website","","Directions","","On-site services","","·"
"https://www.google.com/maps/place/Dr+Preeti+Tak+Sonography+Centre%2F+Ambayu+Gynae+%26+Fetal+Medicine/data=!4m7!3m6!1s0x396db1b52129b789:0xf2aced31a8e86efc!8m2!3d26.9284386!4d75.8259473!16s%2Fg%2F11y2msl0y7!19sChIJibcpIbWxbTkR_G7oqDHtrPI?authuser=0&hl=en&rclk=1","Dr Preeti Tak Sonography Centre/ Ambayu Gynae & Fetal Medicine","4.9","(84)","Obstetrician-gynecologist","·","Pradeep Rawat Memorial Hospital, opposite Govinddev Ji Temple","Closed","· Opens 9:30 am","·","095879 44120","https://www.drpreetifetalmedicine.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Visited her several times and so happy with her diagnosis and treatment.""","",""
"https://www.google.com/maps/place/Dr+Mamta+Gupta/data=!4m7!3m6!1s0x396db3c19dc52a4f:0xbebd7eeb32a64b74!8m2!3d26.934671!4d75.7928598!16s%2Fg%2F11rcmtkfnj!19sChIJTyrFncGzbTkRdEumMut-vb4?authuser=0&hl=en&rclk=1","Dr Mamta Gupta","4.9","(67)","Obstetrician-gynecologist","·","·","Closed","· Opens 5:30 pm","K K TOWER, Opposite doodh mandi, Bani Park, main road, near Space cinema","098296 71603","https://srishtifertility.com/contact-us/","","Website","","Directions","","On-site services","","·"
"https://www.google.com/maps/place/Dr.+Rajeshwari+Suthar/data=!4m7!3m6!1s0x396db52fc87f8c39:0x46d2d3fc93f81d30!8m2!3d26.9144196!4d75.7976659!16s%2Fg%2F11hzstf4h2!19sChIJOYx_yC-1bTkRMB34k_zT0kY?authuser=0&hl=en&rclk=1","Dr. Rajeshwari Suthar","4.8","(32)","Obstetrician-gynecologist","·","·","46, Dhuleshwar Garden, Sardar Patel Marg","Open 24 hours","","098120 39333","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""She is one Doctor who helped us clear our doubts with utmost clearnce.""","","·"
"https://www.google.com/maps/place/Zanana+Hospital/data=!4m7!3m6!1s0x396db156022dbaab:0x72312d8c22943168!8m2!3d26.9262568!4d75.8069439!16s%2Fg%2F1tct_v76!19sChIJq7otAlaxbTkRaDGUIowtMXI?authuser=0&hl=en&rclk=1","Zanana Hospital","3.4","(450)","Government hospital","·","·","ZANANA HOSPITAL, Chand-Pole Gate, Station Staion, Station Rd","Open 24 hours","","0141 231 9350","","","Directions","","","","On-site services","","·"
