"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","doJOZc","W4Efsd 7","Jn12ke src"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Dr.+Ashutosh+Sharma%E2%80%98s+Health+%26+Wellness+center+%7CThe+spine+-Back+%26+Neck+Pain+Specialist/data=!4m7!3m6!1s0x396db60bb5103c19:0x4e69d63394f85e73!8m2!3d26.8465126!4d75.8097825!16s%2Fg%2F11fy_4b5qp!19sChIJGTwQtQu2bTkRc174lDPWaU4?authuser=0&hl=en&rclk=1","Dr. Ashutosh Sharma‘s Health & Wellness center |The spine -Back & Neck Pain Specialist","4.9","(139)","Chiropractor","·","E-56, Girdhar Marg, near Ghiya Hospital","Closed","· Opens 9 am","·","094601 08099","https://physiotherapistinjaipur.in/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Spinal+Care+Chiropractic+Clinic/data=!4m7!3m6!1s0x396db576ae709059:0xbcb91f3e4f81997d!8m2!3d26.8871956!4d75.7751429!16s%2Fg%2F11sk7jtqyn!19sChIJWZBwrna1bTkRfZmBTz4fubw?authuser=0&hl=en&rclk=1","Spinal Care Chiropractic Clinic","4.9","(581)","Chiropractor","·","·","Closed","· Opens 9 am","house no -26, S.B vihar gate, Nanag vihar, 10, Swej Farm Rd, near relience smart point","070238 98912","https://chiropractorjaipur.com/","","Website","","Directions","On-site services","","·",""
"https://www.google.com/maps/place/Well+Me+Care+-Joint+Mobility+Physio+%7C+Chiropractor+%7C+Rehabilitation+%7C+Physiotherapy+Center/data=!4m7!3m6!1s0x396dc99617e3b8e3:0x46fbf50deb847f49!8m2!3d26.8036672!4d75.8756235!16s%2Fg%2F11qwwwm1fc!19sChIJ47jjF5bJbTkRSX-E6w31-0Y?authuser=0&hl=en&rclk=1","Well Me Care -Joint Mobility Physio | Chiropractor | Rehabilitation | Physiotherapy Center","5.0","(761)","Chiropractor","·","·","Closed","· Opens 8:30 am","Kendriya Vihar Road Chouraha, near D-Mart & O2 GYM","078787 03788","https://www.wellmecare.com/","","Website","","Directions","On-site services","","·",""
"https://www.google.com/maps/place/Dr.+Prahlad+Singhal/data=!4m7!3m6!1s0x396dc926ade7ed39:0xb41b3066a56108c7!8m2!3d26.799023!4d75.8203993!16s%2Fg%2F11l6f7nyh0!19sChIJOe3nrSbJbTkRxwhhpWYwG7Q?authuser=0&hl=en&rclk=1","Dr. Prahlad Singhal","4.9","(182)","Chiropractor","·","Ladli ayush superspesility hospital, 102/1","Closed","· Opens 9:30 am","·","076655 69254","","","Directions","","","""Since starting treatment, noticeable improvements in mobility and comfort.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Rudra+pain+relief+centre/data=!4m7!3m6!1s0x396dc99b3b1848a5:0x56463a3b22e794f!8m2!3d26.8284522!4d75.848919!16s%2Fg%2F11z930q060!19sChIJpUgYO5vJbTkRT3kusqNjZAU?authuser=0&hl=en&rclk=1","Rudra pain relief centre","5.0","(1)","Chiropractor","·","43","Closed","· Opens 8 am","·","092639 25816","","","Directions","","","""Very helpful to leave pain free life""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/The+Art+of+Living+center+-+Meditation,+Yoga+%26+Breathwork/data=!4m7!3m6!1s0x396dc900061f83eb:0x7e108ba2bbf2bd38!8m2!3d26.8321689!4d75.8519721!16s%2Fg%2F11zc3_ykmt!19sChIJ64MfBgDJbTkROL3yu6KLEH4?authuser=0&hl=en&rclk=1","The Art of Living center - Meditation, Yoga & Breathwork","5.0","(4)","Chiropractor","","·","Closed","· Opens 6 am","","094149 74765","","","Directions","","","""Really it was a great life changing experience for me.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Dr.+Arvind+Jaga+Physiotherapy+Clinic/data=!4m7!3m6!1s0x396db627e6431b27:0x57fa9722b710cb!8m2!3d26.8428424!4d75.8305806!16s%2Fg%2F11b6vbmn11!19sChIJJxtD5ie2bTkRyxC3Ipf6VwA?authuser=0&hl=en&rclk=1","Dr. Arvind Jaga Physiotherapy Clinic","4.8","(371)","Chiropractor","·","·","Closed","· Opens 8 am","Shop No. 1-5, II Floor, Upon TVS Showroom, Jagatpura Rd","099502 10163","https://drarvindjaga.websarathi.in/","","Website","","Directions","On-site services","","·",""
"https://www.google.com/maps/place/Tan+Mann+Physiotherapy+Clinic+%26+Rehabilitation+Center/data=!4m7!3m6!1s0x396db72569494a43:0xae1eef391920fda!8m2!3d26.833455!4d75.8338887!16s%2Fg%2F11xtn0tx72!19sChIJQ0pJaSW3bTkR2g-SkfPu4Qo?authuser=0&hl=en&rclk=1","Tan Mann Physiotherapy Clinic & Rehabilitation Center","5.0","(117)","Chiropractor","·","·","Closed","· Opens 7:15 am","B-15","097848 50112","https://tanmannphysio.com/","","Website","","Directions","On-site services","","·",""
