"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Dr+Niranjan+Singh+-+MEDIGYNAE+CLINIC/data=!4m7!3m6!1s0x396db32f733afec5:0x8f27b71895ce86d0!8m2!3d26.9424395!4d75.7272774!16s%2Fg%2F11f9_8kv58!19sChIJxf46cy-zbTkR0IbOlRi3J48?authuser=0&hl=en&rclk=1","Dr Niranjan Singh - MEDIGYNAE CLINIC","4.9","(228)","General practitioner","·","","·","Marble Mandi Road, C-21, Jan Path, opposite JDA Park","Closed","· Opens 8 am","·","079766 64252","https://medigynaeclinic.co/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Minimal fee/wait time and prompt attention to your health.""","",""
"https://www.google.com/maps/place/NOOR+MEDICAL+%26+CLINIC/data=!4m7!3m6!1s0x396db3005ecd3179:0x953f307da0b5a56c!8m2!3d26.952989!4d75.7415192!16s%2Fg%2F11nqr519sv!19sChIJeTHNXgCzbTkRbKW1oH0wP5U?authuser=0&hl=en&rclk=1","NOOR MEDICAL & CLINIC","5.0","(3)","Medical clinic","·","","near darbar school","Open 24 hours","","","","","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nice behavior
Medical clinic or Diagnostic Centre
Test ki accurate reports""","",""
"https://www.google.com/maps/place/Dr+Yogendra+Sutrakar/data=!4m7!3m6!1s0x396db33d10f96fe3:0x2a3485c66b58a3d!8m2!3d26.949302!4d75.7120372!16s%2Fg%2F11bw1qbf9g!19sChIJ42_5ED2zbTkRPYq1ZlxIowI?authuser=0&hl=en&rclk=1","Dr Yogendra Sutrakar","4.9","(301)","ENT Specialist","·","","·","9, Dukaan Kalwar Rd","Open 24 hours","","·","082332 58687","https://www.sanjeevanienthospital.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""I had several ear infections, and the treatment I received was excellent.""","",""
"https://www.google.com/maps/place/CM+Child+Hospital+Jhotwara+Jaipur/data=!4m7!3m6!1s0x396db3113a962937:0xd2a6c1acb1b20e2b!8m2!3d26.9454427!4d75.7124961!16s%2Fg%2F11hchzbzt_!19sChIJNymWOhGzbTkRKw6ysazBptI?authuser=0&hl=en&rclk=1","CM Child Hospital Jhotwara Jaipur","4.5","(93)","Pediatrician","·","","·","Open 24 hours","13, Kalwar Rd, near 9 Dukan","·","","099508 99549","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Treatment is very effective.""","",""
"https://www.google.com/maps/place/SS+Multi-Speciality+%26+Skin+Care/data=!4m7!3m6!1s0x396db3a5f734f9c3:0xdf9995fc45737af5!8m2!3d26.965355!4d75.7246865!16s%2Fg%2F11y1lmwjzg!19sChIJw_k096WzbTkR9XpzRfyVmd8?authuser=0&hl=en&rclk=1","SS Multi-Speciality & Skin Care","4.9","(36)","Medical clinic","·","","Niwaru Rd, near Vaidh Ji ka chouraha","Open 24 hours","·","","","063751 91014","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good faculties of doctors and trained staff""","",""
"https://www.google.com/maps/place/Dr.G.S+SHEKHAWAT/data=!4m7!3m6!1s0x396c4d82e8ca4475:0x45ae756b9c4307db!8m2!3d26.9395043!4d75.7028518!16s%2Fg%2F11jchz49rz!19sChIJdUTK6IJNbDkR2wdDnGt1rkU?authuser=0&hl=en&rclk=1","Dr.G.S SHEKHAWAT","4.0","(3)","Pain management physician","·","","9 dukan, Kalwar Rd","Open 24 hours","·","","","097720 56779","","","Directions","","","","","",""
"https://www.google.com/maps/place/AARVI+Hospital/data=!4m7!3m6!1s0x396db3b01a26ea21:0xf1916842e2d8e8df!8m2!3d26.957928!4d75.7417447!16s%2Fg%2F11t11r8vhv!19sChIJIeomGrCzbTkR3-jY4kJokfE?authuser=0&hl=en&rclk=1","AARVI Hospital","4.8","(595)","Hospital","·","","·","Open 24 hours","XP5M+VQH","·","","094604 63463","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""“Exceptional care, compassionate staff, and a truly healing environment.”""","",""
