"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","Jn12ke src","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Apollo+Clinic+Mansarovar+Jaipur/data=!4m7!3m6!1s0x396db50040673875:0x76e688d6057d8c3a!8m2!3d26.8630496!4d75.7656721!16s%2Fg%2F11mrht56t9!19sChIJdThnQAC1bTkROox9BdaI5nY?authuser=0&hl=en&rclk=1","Apollo Clinic Mansarovar Jaipur","4.8","(46)","Medical clinic","·","","·","53/210, VT Rd, near VT apartment, above Grocious store","Closed","· Opens 8:30 am","·","090908 18178","https://www.apolloclinicmansarovar.com/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Himadri+family+clinic/data=!4m7!3m6!1s0x396db500599a8da9:0xf7e27bf7c7cd4cc6!8m2!3d26.8421499!4d75.7616949!16s%2Fg%2F11n3pfykqg!19sChIJqY2aWQC1bTkRxkzNx_d74vc?authuser=0&hl=en&rclk=1","Himadri family clinic","5.0","(36)","Medical clinic","·","","·","268, Iskcon Rd","Closed","· Opens 9 am","·","063677 88939","","","Directions","","","On-site services","","",""
"https://www.google.com/maps/place/Amar+Medical+%26+Research+Centre/data=!4m7!3m6!1s0x396db501daebe0ab:0x9bf33abbdc8d0f98!8m2!3d26.8682838!4d75.7582838!16s%2Fg%2F1thcqr9k!19sChIJq-Dr2gG1bTkRmA-N3Ls685s?authuser=0&hl=en&rclk=1","Amar Medical & Research Centre","4.7","(4,568)","Hospital","·","","·","3, Kiran Path","Open 24 hours","","·","083370 00000","https://www.parkhospital.in/hospital/super-multispeciality-hospital-in-jaipur?utm_source=GMB-Organic&utm_medium=gmb&utm_campaign=jaipur-profile","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Suvira+Superspeciality+Hospital+Jaipur/data=!4m7!3m6!1s0x396db5dba453b92b:0x50efceb05ce3474e!8m2!3d26.8579366!4d75.7731064!16s%2Fg%2F11v6ch98th!19sChIJK7lTpNu1bTkRTkfjXLDO71A?authuser=0&hl=en&rclk=1","Suvira Superspeciality Hospital Jaipur","4.8","(1,026)","Hospital","·","","·","7/C-02","Open 24 hours","","·","0141 486 4100","https://www.suvirahospital.com/","","Website","","Directions","""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Doctors","listened carefully and the staff always helpful"""
"https://www.google.com/maps/place/SHYAM+CLINIC/data=!4m7!3m6!1s0x396db5da2531b0ab:0x50572248d2b653b2!8m2!3d26.8670161!4d75.7378461!16s%2Fg%2F11tds35lrg!19sChIJq7AxJdq1bTkRslO20kgiV1A?authuser=0&hl=en&rclk=1","SHYAM CLINIC","5.0","(64)","Doctor","·","","11a, shiv vihar ext","","Closed","· Opens 9 am Wed","","","","","Directions","","","""Excellent environment for patients and treatment facilities are very good.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Brij+Poly+Clinic/data=!4m7!3m6!1s0x396db5a3badd8183:0x66478bddc8b71fd1!8m2!3d26.845104!4d75.7733142!16s%2Fg%2F1txnmw32!19sChIJg4HduqO1bTkR0R-3yN2LR2Y?authuser=0&hl=en&rclk=1","Brij Poly Clinic","4.9","(71)","Doctor","·","","·","Jain Mandir, 113/352, Mandir Marg","Closed","· Opens 10 am","·","077348 63748","","","Directions","","","""Clean space, friendly nurses, no unnecessary medicines""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Gupta+clinic/data=!4m7!3m6!1s0x396db5d221391e13:0xecbb4c6fcac65fec!8m2!3d26.843586!4d75.7483449!16s%2Fg%2F11fd0s65b0!19sChIJEx45IdK1bTkR7F_Gym9Mu-w?authuser=0&hl=en&rclk=1","Gupta clinic","5.0","(27)","Medical clinic","·","","·","Patrakar Colony Road Dholai","Closed","· Opens 8 am","·","094147 94979","","","Directions","","","""Great service with professional and utmost care..""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
