"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","UsdlK","Cw1rxd","R8c4Qb","doJOZc","W4Efsd 6","W4Efsd 7","Jn12ke src","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Dr.G.S+SHEKHAWAT/data=!4m7!3m6!1s0x396c4d82e8ca4475:0x45ae756b9c4307db!8m2!3d26.9395043!4d75.7028518!16s%2Fg%2F11jchz49rz!19sChIJdUTK6IJNbDkR2wdDnGt1rkU?authuser=0&hl=en&rclk=1","Dr.G.S SHEKHAWAT","4.0","(3)","Pain management physician","·","9 dukan, Kalwar Rd","Open 24 hours","·","097720 56779","","Directions","","","","","","","","","",""
"https://www.google.com/maps/place/Dr.+Suresh+Nitharwal+-Physician+%26+Diabetologist+Assistant+Professor+Department+of+General+Medicine+SMS+Hospital+Jaipur/data=!4m7!3m6!1s0x396c4d2cd602b459:0xc2319b366c319bad!8m2!3d26.9551408!4d75.6949343!16s%2Fg%2F11vc8kqqk1!19sChIJWbQC1ixNbDkRrZsxbDabMcI?authuser=0&hl=en&rclk=1","Dr. Suresh Nitharwal -Physician & Diabetologist Assistant Professor Department of General Medicine SMS Hospital Jaipur","5.0","(89)","Doctor","·","·","Closed","15,Manglam Marg, Kalwar Rd, near Hotel Krishnam palace","077372 02709","","Directions","","· Opens 4 pm","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very polite doctor and provides very effective treatment.""","","","","",""
"https://www.google.com/maps/place/Dr.+Ramkesh+Singh+Parmar/data=!4m7!3m6!1s0x396db2d9a422d3a3:0x1c4e343f2322fe36!8m2!3d26.9628006!4d75.7288933!16s%2Fg%2F11f4r0t4xr!19sChIJo9MipNmybTkRNv4iIz80Thw?authuser=0&hl=en&rclk=1","Dr. Ramkesh Singh Parmar","4.8","(214)","Doctor","·","·","Dr. Ramkesh Singh Parmar Ganga Marriage Garden, Niwaru Rd","Open 24 hours","082905 47750","","Website","","·","","","On-site services not available","https://drramkeshparmar.com/","","Directions","",""
"https://www.google.com/maps/place/Dr+Abha+Sharma/data=!4m7!3m6!1s0x396db45a089d72f9:0xbfd1b209d61d7878!8m2!3d26.8907343!4d75.7687!16s%2Fg%2F11fx9488v9!19sChIJ-XKdCFq0bTkReHgd1gmy0b8?authuser=0&hl=en&rclk=1","Dr Abha Sharma","4.9","(436)","Pain management physician","·","·","Advance hospital, metro station, E - 7, New Sanganer Rd, near Vivek Vihar","Closed","087698 90028","","Website","","·","· Opens 9 am","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Treatment is very good.""","https://drabhasharma.com/","","Directions","",""
"https://www.google.com/maps/place/Dr+Niranjan+Singh+-+MEDIGYNAE+CLINIC/data=!4m7!3m6!1s0x396db32f733afec5:0x8f27b71895ce86d0!8m2!3d26.9424395!4d75.7272774!16s%2Fg%2F11f9_8kv58!19sChIJxf46cy-zbTkR0IbOlRi3J48?authuser=0&hl=en&rclk=1","Dr Niranjan Singh - MEDIGYNAE CLINIC","4.9","(228)","General practitioner","·","·","Marble Mandi Road, C-21, Jan Path, opposite JDA Park","Closed","079766 64252","","Website","","·","· Opens 8 am","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He takes utmost care in treatment and his clinical diagnosis is very sharp.""","https://medigynaeclinic.co/","","Directions","",""
"https://www.google.com/maps/place/Dr+Ramandeep+kaur/data=!4m7!3m6!1s0x396c4d3fd3182213:0xbcb07fa9c34f1d31!8m2!3d26.9207791!4d75.6861706!16s%2Fg%2F11pyzg2ffr!19sChIJEyIY0z9NbDkRMR1Pw6l_sLw?authuser=0&hl=en&rclk=1","Dr Ramandeep kaur","5.0","(139)","General practitioner","·","·","","Saraswati Vihar, 28, Sirsi Rd","081264 37690","","Directions","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr Raman is a good","","","","physician","with holistic approach to the patient."""
"https://www.google.com/maps/place/Dr+Suresh+Kumar+Yogi+%23Physician,%23Doctor%23Chest+Physician/data=!4m7!3m6!1s0x396c4d3f100714a5:0xc97532910f156cb0!8m2!3d26.9598904!4d75.6958475!16s%2Fg%2F11l83q2sc0!19sChIJpRQHED9NbDkRsGwVD5Eydck?authuser=0&hl=en&rclk=1","Dr Suresh Kumar Yogi #Physician,#Doctor#Chest Physician","5.0","(174)","Doctor","·","Manglam city, B-63, Kalwar Rd","","","090792 56064","","Directions","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He took time to explain my condition and treatment options clearly.""","","","","",""
"https://www.google.com/maps/place/Dr+T+P+Sharma/data=!4m7!3m6!1s0x396c4cd37c974fdb:0xc82b074867df71ea!8m2!3d26.9501071!4d75.7116437!16s%2Fg%2F11cjkq4vcj!19sChIJ20-XfNNMbDkR6nHfZ0gHK8g?authuser=0&hl=en&rclk=1","Dr T P Sharma","4.6","(39)","Doctor","·","MD Physician, Kardhani Shopping Centre, Dr T P Sharma, A-18, Kalwar Rd","Closed","·","093525 23489","","Directions","","· Opens 9 am","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Well experienced and qualified doctor .""","","","","",""
