"hfpxzc href","xxVWCe","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","M4A5Cf","ah5Ghc 2","Jn12ke src","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Decor+Town/data=!4m7!3m6!1s0x396dcbc962bfedd1:0xd74741f84eba0694!8m2!3d26.8154789!4d75.7847324!16s%2Fg%2F11r_qnhg2v!19sChIJ0e2_YsnLbTkRlAa6TvhBR9c?authuser=0&hl=en&rclk=1","Decor Town","Decor Town","4.9","(257)","Event management company","·","3/7 CTS Bus Stand, Jain Mandir, Road","Open","· Closes 8:30 pm","·","097990 47673","https://www.decortown.in/","","Website","","Directions","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/The+Large+Sun+%28TLS%29+Event+Organizers/data=!4m7!3m6!1s0x396db47035fe41b3:0xde6828b75c5a0fea!8m2!3d26.8545713!4d75.7611607!16s%2Fg%2F11b6gq3xhr!19sChIJs0H-NXC0bTkR6g9aXLcoaN4?authuser=0&hl=en&rclk=1","The Large Sun (TLS) Event Organizers","The Large Sun (TLS) Event Organizers","4.9","(102)","Event planner","·","·","Open 24 hours","","A2, Kailashpuri, Near Laxman Juice Center New Sanganer Road,near metro pillar 118","098870 24486","https://www.facebook.com/tlseventorganizers/","","Website","","Directions","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/PUNAHA+DECOR+%26+EVENTS/data=!4m7!3m6!1s0x8c8c5015e818b45d:0x21fdf9c9ebcc4ee1!8m2!3d26.8192458!4d75.7563563!16s%2Fg%2F11w55v3rs8!19sChIJXbQY6BVQjIwR4U7M68n5_SE?authuser=0&hl=en&rclk=1","PUNAHA DECOR & EVENTS","PUNAHA DECOR & EVENTS","4.9","(72)","Event management company","·","·","Open","· Closes 9 pm","Nand Vihar, 27, Rampura Rd","078919 21035","http://punahaevents.com/","","Website","","Directions","""Everything was decorated so beautifully, it felt like stepping into a dream.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/AG+Events+and+Wedding+Planners/data=!4m7!3m6!1s0x396db5b0bfe1b0a3:0x2ffb99cb5ad73745!8m2!3d26.8371473!4d75.7536032!16s%2Fg%2F11pz8n65cp!19sChIJo7Dhv7C1bTkRRTfXWsuZ-y8?authuser=0&hl=en&rclk=1","AG Events and Wedding Planners","AG Events and Wedding Planners","4.8","(73)","Wedding planner","·","50 Radha Nikunj 1st, Iskcon Rd, opposite Jain Temple","Open","· Closes 9 pm","·","075685 83001","https://ageventsandtent.com/","","Website","","Directions","""AGS events did an amazing job and made the whole event truly unforgettable.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Jaipur+Events+%26+Decor/data=!4m7!3m6!1s0x396db5094e3ac091:0x48ff0ffc6ae257c0!8m2!3d26.8870232!4d75.761633!16s%2Fg%2F11w7m4t1_j!19sChIJkcA6Tgm1bTkRwFfiavwP_0g?authuser=0&hl=en&rclk=1","Jaipur Events & Decor","Jaipur Events & Decor","4.9","(12)","Wedding service","·","484, New Sanganer Rd","Open 24 hours","","·","096943 86567","https://www.jaipurevents.in/","","Website","","Directions","""🎉 Jaipur Events & Décor delivered top-class service with flawless execution.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Roshan+Events+Jaipur+-+Best+Event+Management+%7C+Best+Wedding+Planner+In+Jaipur/data=!4m7!3m6!1s0x396db71dd4cc5a2d:0xd101edd5e555dec7!8m2!3d26.8507522!4d75.7911892!16s%2Fg%2F11vrwv577z!19sChIJLVrM1B23bTkRx95V5dXtAdE?authuser=0&hl=en&rclk=1","Roshan Events Jaipur - Best Event Management | Best Wedding Planner In Jaipur","Roshan Events Jaipur - Best Event Management | Best Wedding Planner In Jaipur","4.8","(80)","Event management company","·","Pk studio, Dalda Factory","Open 24 hours","","·","095878 08416","https://wa.me/919587808416?text=Hi","","Website","","Directions","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Balaji+Electricals+Decoration+%26+Events/data=!4m7!3m6!1s0x396db5124144e45b:0xd3e1573732a6161b!8m2!3d26.8350519!4d75.7496162!16s%2Fg%2F11zjd59m76!19sChIJW-REQRK1bTkRGxamMjdX4dM?authuser=0&hl=en&rclk=1","Balaji Electricals Decoration & Events","Balaji Electricals Decoration & Events","4.4","(10)","Event management company","·","Khasra no. 291 village dholai","Open","· Closes 9:30 pm","·","099298 46540","","","Directions","","","""“Professional, creative, and reliable – highly recommended!”""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/SS+dj+event+%26+wedding+planner/data=!4m7!3m6!1s0x396dcb768908c5d9:0x7fd6b841bb3f4609!8m2!3d26.8146392!4d75.7664988!16s%2Fg%2F11ylzssj6v!19sChIJ2cUIiXbLbTkRCUY_u0G41n8?authuser=0&hl=en&rclk=1","SS dj event & wedding planner","SS dj event & wedding planner","4.9","(10)","Event planner","·","Aannda city Road","Open 24 hours","","·","082901 11551","","","Directions","","","""Super","","cool event planner","https://ssl.gstatic.com/local/servicebusiness/default_user.png","and nice work"""
